date,title,content,url,source
2025-04-22,"1 công ty chỉ có 75 nhân viên báo lãi đột biến 18.600 tỷ đồng trong quý 1, lớn hơn TCB, Vietinbank và SHB cộng lại, EPS hơn 89.000 đồng","Lợi nhuận sau thuế đạt hơn 14.873 tỷ đồng, gấp 162 lần so với quý 1/2024.",https://cafef.vn/xuat-hien-mot-cong-ty-dia-oc-bao-lai-hon-18600-ty-dong-trong-quy-1-lon-hon-tcb-vietinbank-va-shb-cong-lai-eps-hon-89000-dong-188250422160349135.chn,cafef
2025-06-29,"Vốn hóa HoSE tăng 690.000 tỷ đồng trong nửa năm: Tỷ phú Phạm Nhật Vượng chiếm 80%, TCB và Gelex góp trên 1 tỷ USD; FPT, VCB giảm mạnh nhất",Tổng vốn hóa 4 doanh nghiệp họ nhà Vin tăng thêm 549 nghìn tỷ đồng trong gần nửa năm 2025 vừa qua.,https://cafef.vn/von-hoa-hose-tang-690000-ty-dong-trong-nua-nam-ty-phu-pham-nhat-vuong-chiem-80-tcb-va-gelex-gop-tren-1-ty-usd-fpt-vcb-giam-manh-nhat-188250629231048618.chn,cafef
2025-08-05,"TCBS công bố giá IPO dự kiến, cổ phiếu TCB của Techcombank lập tức tăng trần, tỷ phú Hồ Hùng Anh từng nói: ""Khi thời điểm đến, giá trị sẽ bùng nổ""",Thanh khoản cổ phiếu TCB cũng lập kỷ lục trong phiên giao dịch ngày 5/8/2025.,https://cafef.vn/tcbs-cong-bo-gia-ipo-du-kien-co-phieu-tcb-cua-techcombank-lap-tuc-tang-tran-ty-phu-ho-hung-anh-tung-noi-khi-thoi-diem-den-gia-tri-se-bung-no-188250805141547811.chn,cafef
2025-08-21,"Phiên 21/8, cổ phiếu ngân hàng tăng ồ ạt: 6 mã tím trần, VPB và TCB tiếp tục hút tiền, nhiều cổ phiếu tăng hơn 10% từ đầu tuần","Kể từ đầu tuần đến nay, một loạt cổ phiếu ngân hàng đã ghi nhận mức tăng trên 10% như VPB, TCB, VIB, OCB, PGB, MSB, TPB,….",https://cafef.vn/phien-21-8-co-phieu-ngan-hang-tang-o-at-6-ma-tim-tran-vpb-va-tcb-tiep-tuc-hut-tien-nhieu-co-phieu-tang-hon-10-tu-dau-tuan-188250821101946376.chn,cafef
2025-08-22,"Ngày 22/8: VPB, TCB cùng loạt cổ phiếu ngân hàng giảm sâu, BID và VCB ngược chiều tăng giá","Kết phiên 22/8, toàn ngành ngân hàng chỉ còn 6 mã giữ được sắc xanh và 21 mã chìm trong sắc đỏ và xanh sàn.",https://cafef.vn/ngay-22-8-vpb-tcb-cung-loat-co-phieu-ngan-hang-giam-sau-bid-va-vcb-nguoc-chieu-tang-gia-188250822102326698.chn,cafef
2025-09-05,"Phiên 5/9, cổ phiếu ngân hàng đồng loạt giảm sâu: 25/27 mã đỏ lửa, khối ngoại bán ròng trăm tỷ tại VPB, TCB, MBB","Đóng cửa phiên 5/9, toàn ngành ngân hàng ghi nhận 25/27 giảm giá. Trong đó, SHB là mã ngân hàng giảm mạnh nhất và thanh khoản đứng đầu cả 3 sàn.",https://cafef.vn/phien-5-9-co-phieu-ngan-hang-dong-loat-giam-sau-25-27-ma-do-lua-khoi-ngoai-ban-rong-tram-ty-tai-vpb-tcb-mbb-188250905152906716.chn,cafef
2025-09-24,"Phiên 24/9, loạt cổ phiếu ngân hàng tăng vọt: HDB tím trần, VPB và TCB hồi phục mạnh mẽ","Kết phiên, ngành ngân hàng ghi nhận 25/27 mã tăng giá với nhiều mã tăng mạnh như HDB, VPB, TCB, VIB, EIB, STB.",https://cafef.vn/phien-24-9-loat-co-phieu-ngan-hang-tang-vot-hdb-tim-tran-vpb-va-tcb-hoi-phuc-manh-me-188250924152648215.chn,cafef
2025-11-30,"Hai ngày sau khi mở vote: Gần 20.000 phiếu bình chọn đổ vào đường đua ""Cổ phiếu ngân hàng được nhà đầu tư yêu thích của năm"", VPB – TCB – SHB tạm dẫn đầu","Cuộc bình chọn cho hạng mục ""Cổ phiếu ngân hàng được nhà đầu tư yêu thích của năm"" thuộc FChoice 2025 đang nóng lên từng giờ.",https://cafef.vn/hai-ngay-sau-khi-mo-vote-gan-20000-phieu-binh-chon-do-vao-duong-dua-co-phieu-ngan-hang-duoc-nha-dau-tu-yeu-thich-cua-nam-vpb-tcb-shb-tam-dan-dau-188251130140734535.chn,cafef
2025-12-16,"Ngày 16/12, loạt cổ phiếu ngân hàng tăng mạnh: Một mã tím trần trước thềm lăn chốt cổ tức, EIB và TCB gây chú ý","Trong phiên giao dịch 16/12, có hai mã ngân hàng tăng trần và 13 mã khác tăng trên 2%.",https://cafef.vn/ngay-16-12-loat-co-phieu-ngan-hang-tang-manh-mot-ma-tim-tran-truoc-them-lan-chot-co-tuc-eib-va-tcb-gay-chu-y-188251216151549226.chn,cafef
2026-01-07,"Maybank Securities gọi tên cổ phiếu ngân hàng được kỳ vọng nhất 2026: HDB, TCB và MBB","Maybank Securities - thành viên thuộc tổ chức đầu tư quốc tế Maybank Investment Banking Group (Maybank IBG) vừa công bố Top 10 cổ phiếu lựa chọn cho năm 2026 tại thị trường Việt Nam, bao gồm bộ ba cổ phiếu nhóm ngân hàng là HDB, TCB và MBB.",https://cafef.vn/maybank-securities-goi-ten-co-phieu-ngan-hang-duoc-ky-vong-nhat-2026-hdb-tcb-va-mbb-188260107093722013.chn,cafef
